"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","logP"
"Clk3","47.6348216800844","-0.846028549653899","0.630945485562124","0.179956139835932","0.675191926897304","0.7"
"Clk4","98.2848469528423","1.69730428594521","0.763199820114053","0.0261530387686326","0.365940588793531","1.6"
"Clmn","89.9687907076376","0.521705210739509","0.673946494949928","0.438868824398677","0.845373188605623","0.4"
"Clmp","58.0461602907387","-1.5102652402075","0.567397217092626","0.00777373415320795","0.226651404373076","2.1"
"Cln3","7.26129746394063","1.23811443428259","1.28304661030912","0.334554783939255","0.789952516841016","0.5"
"Cln5","6.33194642128461","-0.246921867600619","1.34979187614162","0.854850362628234","0.974053925039363","0.1"
"Cln6","10.7011712182223","-0.50929751733157","1.39307971334997","0.71467023192685","0.940437516522478","0.1"
"Cln8","20.6119128219829","-0.591346801415846","0.748582749679332","0.429553959107476","0.840203282632732","0.4"
"Clnk","0.138772802957164","0.131271076960917","5.33277823099548","0.980361345555937",NA,"0"
"Clns1a","37.9523887413016","0.127029018994776","0.705386544797622","0.857086413661867","0.974344343437634","0.1"
"Clock","70.4935295767171","-0.357517967664865","0.639170170806657","0.575924871393406","0.899375926714896","0.2"
"Clp1","7.91369301803925","0.523453500060677","1.37648735541886","0.703736022481575","0.937565901645135","0.2"
"Clpb","53.0791584871689","-0.1657786614579","0.668541427181519","0.804157104953175","0.962491388693121","0.1"
"Clpp","35.4629832035372","0.377635647659009","0.744296386145458","0.611893355358031","0.912959869752044","0.2"
"Clptm1","115.326358944008","-0.254824106586773","0.424158461857649","0.547989375869683","0.888445687030852","0.3"
"Clptm1l","89.6660622734275","-0.0430954718855772","0.501679325824403","0.931543981826796","0.986501846020378","0"
"Clpx","26.7403797423007","-0.784239574526426","0.862109414704309","0.362993814437831","0.812030607112778","0.4"
"Clrn1","3.82141522416919","-1.11365292436117","1.69253404098194","0.510551219595557",NA,"0.3"
"Clspn","1.29276665365953","-0.388741428202476","2.75282372520541","0.887699687364779",NA,"0.1"
"Clstn1","882.521506548488","0.0748373895341063","0.297694347993343","0.801512579168182","0.961245544874538","0.1"
"Clstn2","162.40761441451","0.0226179130328434","0.494630865001234","0.963527960302298","0.992465749351643","0"
"Clstn3","265.977392715464","-0.176722591010198","0.405288393192378","0.66280656245977","0.926158989791453","0.2"
"Clta","136.328517364402","0.637281124539598","0.544168078671103","0.241554235457232","0.727662655725624","0.6"
"Cltb","114.194749029734","0.305832021733617","0.522899676088976","0.558630388920196","0.893205641901249","0.3"
"Cltc","506.2378159577","-0.347554025584814","0.363679022800974","0.339243300117227","0.794356438171319","0.5"
"Clu","286.63925425746","0.998007841319293","0.462073465432538","0.0307845404212759","0.390554369932373","1.5"
