"","gene","pvalue","lfc","padj","direction"
"221","Magi2",1.43199576762813,1.21415512614306,0.0369831783920028,"CA1"
"317","Ptch2",1.43199576762813,5.94366702004194,0.0369831783920028,"CA1"
"338","Rock2",1.43199576762813,1.05107474013093,0.0369831783920028,"CA1"
"45","Btbd3",1.43266047933252,-1.79512333363833,0.0369266168900163,"DG"
"247","Myh10",1.432689036315,1.10720123307949,0.0369241888645021,"CA1"
"327","Rab8b",1.432689036315,1.54329392380315,0.0369241888645021,"CA1"
"55","Camk2n2",1.43451550284185,-2.34811733530918,0.036769226777553,"DG"
"182","Inha",1.44072491811372,-3.56382179707446,0.0362472515613272,"DG"
"220","Magi1",1.44335296063846,-1.57110299712695,0.0360285711912042,"DG"
"371","Slc29a1",1.44513482132484,-2.54607266481039,0.0358810529083924,"DG"
"325","R3hdm1",1.4481931753387,1.05985606798298,0.0356292618272234,"CA1"
"198","Kirrel3",1.44903099308787,-2.03880656931107,0.0355605940122146,"DG"
"351","Sema5b",1.45415998718969,-3.16848969666993,0.0351430955097128,"DG"
"424","Tspan15",1.45415998718969,-2.08782118011766,0.0351430955097128,"DG"
"38","Atp2b4",1.45747175878734,-2.42097326165295,0.0348761262573831,"DG"
"290","Pld3",1.45785022345998,1.02009886975494,0.0348457467967969,"CA1"
"384","Spry1",1.45785022345998,-2.48406719968116,0.0348457467967969,"DG"
"44","Brd9",1.46044112043439,1.18910446696438,0.0346384842622836,"CA1"
"192","Kcnd2",1.46044112043439,1.66293073063711,0.0346384842622836,"CA1"
"23","Ano4",1.4649762896263,2.75995823393793,0.0342786500517052,"CA1"
"407","Tmc6",1.4649762896263,-4.18486197144958,0.0342786500517052,"DG"
"78","Cidea",1.46658338321328,-5.9027050586003,0.0341520373522955,"DG"
"186","Itpka",1.46658338321328,1.65094190895968,0.0341520373522955,"CA1"
"277","Pde11a",1.46658338321328,3.6164800311905,0.0341520373522955,"CA1"
"266","Ntm",1.46704982169385,1.98620744997422,0.0341153772663246,"CA1"
"7","Adamts17",1.48192893855325,-2.5599568947221,0.032966364898842,"DG"
"42","Blmh",1.48192893855325,-1.85128067334926,0.032966364898842,"DG"
"80","Clic4",1.48192893855325,-1.5549028703127,0.032966364898842,"DG"
"103","Dgat2",1.48320584022592,-1.70000609049991,0.0328695803763729,"DG"
"214","Lrrc7",1.4832627895665,1.76325268283935,0.0328652704477897,"CA1"
"421","Trpc6",1.48484822140439,-3.95026400641622,0.0327455114922783,"DG"
"99","Cx3cl1",1.48503604164206,1.009135072638,0.0327313530346213,"CA1"
"356","Sh3bgrl",1.48534213964619,1.06168559275741,0.0327082915583575,"CA1"
"85","Cntnap5c",1.49051279791564,3.41024396879371,0.0323211795700415,"CA1"
"242","Mobp",1.49532835093154,-1.9763694915565,0.0319647748002436,"DG"
"366","Slc16a14",1.49933238280984,3.73420922485902,0.0316714259526449,"CA1"
"218","Ltbp3",1.50796506940422,-1.98980189692646,0.0310480929997548,"DG"
"288","Pla2g4e",1.50796506940422,-5.87615077354679,0.0310480929997548,"DG"
"83","Cnp",1.50933212528918,-1.65339136615944,0.0309505146341822,"DG"
"264","Nrn1",1.51072969908463,-1.27859369413151,0.0308510749553596,"DG"
"321","Ptprn2",1.51080887796486,1.5394490732331,0.0308454508201065,"CA1"
"115","Efnb2",1.51149313200634,2.18393516916131,0.0307968904375041,"CA1"
"39","Bambi",1.51508829094971,-3.41577481355923,0.0305430011874609,"DG"
"49","Cacnb2",1.51508829094971,1.31230575466423,0.0305430011874609,"CA1"
"297","Plp1",1.51508829094971,-2.01768859497022,0.0305430011874609,"DG"
"413","Tmod2",1.51508829094971,1.10522493390928,0.0305430011874609,"CA1"
"394","Synj2",1.52718467761017,2.50242976782477,0.0297040264126085,"CA1"
"26","Ar",1.52777718052863,2.57035336418786,0.0296635291855384,"CA1"
"268","Nyap2",1.52856509899879,2.427692658864,0.0296097609370221,"CA1"
"429","Usp46",1.52856509899879,1.38316772961893,0.0296097609370221,"CA1"
"259","Npr3",1.53721774820422,3.35441222183735,0.0290256698959439,"CA1"
"368","Slc24a2",1.54541755029139,1.28174820602885,0.0284827848731263,"CA1"
"357","Sh3bp4",1.58585881377401,2.21322197346175,0.0259502284954524,"CA1"
"390","Strip2",1.58963449861362,3.29102744111278,0.0257255993337599,"CA1"
"437","Wwc2",1.58963449861362,1.62394554979931,0.0257255993337599,"CA1"
"336","Rgs6",1.59194142658302,-4.05723072680383,0.0255893098736374,"DG"
"145","Galnt14",1.60149504913322,-3.36661578749413,0.0250325418479768,"DG"
"285","Pik3ip1",1.60149504913322,-1.76970499049735,0.0250325418479768,"DG"
"6","Adam8",1.60582091467073,-4.34740191183136,0.024784438560942,"DG"
"207","Lingo1",1.62044183434374,1.14917266726943,0.0239639368054971,"CA1"
"301","Pou3f1",1.62484281267412,4.94537838614734,0.0237223214934709,"CA1"
"414","Tnfrsf25",1.62543211609182,-2.13813513252194,0.0236901540002985,"DG"
"265","Nrxn3",1.63027111929607,1.4484384644908,0.0234276582799214,"CA1"
"36","Atf3",1.64918782991088,-1.99023464342955,0.0224291166735269,"DG"
"269","Obsl1",1.64942274205789,-2.78815977811288,0.022416987928057,"DG"
"346","Satb2",1.64942274205789,5.539918025088,0.022416987928057,"CA1"
"208","Lingo2",1.65073812890243,-3.95139303683059,0.0223491942942277,"DG"
"228","Map4k3",1.65073812890243,1.19382057745619,0.0223491942942277,"CA1"
"342","Rplp0",1.65073812890243,-1.16520784031638,0.0223491942942277,"DG"
"197","Kctd4",1.65241867765665,-3.50059230403226,0.0222628788176756,"DG"
"163","Gsk3b",1.6613112660738,1.1112343090338,0.0218116607351639,"CA1"
"245","Muc3a",1.66897990275257,-1.57490756457296,0.0214298976701069,"DG"
"411","Tmem88b",1.66897990275257,-2.2311935068848,0.0214298976701069,"DG"
"30","Arhgap32",1.67587263243692,1.50580575393882,0.0210924664781076,"CA1"
"447","Zmat3",1.67587263243692,1.70028062848338,0.0210924664781076,"CA1"
"173","Htra4",1.67749999768635,-5.66956034577,0.0210135778024146,"DG"
"158","Grem1",1.68678870087402,3.56696047255431,0.0205689110047694,"CA1"
"253","Necab3",1.68678870087402,-4.30853379231969,0.0205689110047694,"DG"
"137","Frmd4b",1.68924418245216,-2.19417381852439,0.0204529434484505,"DG"
"396","Syt13",1.68924418245216,-1.56739662952071,0.0204529434484505,"DG"
"299","Pls3",1.69337075435133,1.2017851524542,0.0202595243874986,"CA1"
"21","Ankrd13a",1.69885098513842,-1.66112128213911,0.0200054817877161,"DG"
"32","Arsj",1.70368023435066,-7.16339987383843,0.0197842579438629,"DG"
"193","Kcng1",1.70536510617069,-4.04772112286612,0.0197076524075428,"DG"
"107","Dlgap4",1.71175356773962,1.1606193449364,0.0194198750941141,"CA1"
"97","Csrnp3",1.72657733611386,1.21018002306516,0.0187682017764886,"CA1"
