"","gene","pvalue","lfc","padj","color"
"11308","Prkar1b",0.0127646752190996,-0.0652806871368085,0.971035985746594,"none"
"11309","Prkar2a",0.00927954118726954,-0.0585134396272977,0.978859722526765,"none"
"11310","Prkar2b",0.110098137601471,-0.769662253546947,0.776071727746488,"none"
"11311","Prkca",0.180786942574427,-0.642293912549847,0.659497353989034,"none"
"11312","Prkcb",0.440820435729597,-0.852526561097243,0.362392803102892,"none"
"11313","Prkcd",0.141607508100822,1.10266831035977,0.721759471753479,"none"
"11314","Prkcdbp",0.0920820601718248,0.85846606218283,0.808943034523112,"none"
"11315","Prkce",0.162518677641471,-0.379629334043575,0.687830330250789,"none"
"11316","Prkcg",0.39284359394787,-0.742806272845256,0.404721621188485,"none"
"11318","Prkci",0.137135509928348,-0.482424110879894,0.729229938136747,"none"
"11319","Prkcq",0.564720259069579,2.43844757696625,0.272445563925573,"none"
"11320","Prkcsh",0.0934045243668276,0.275278618429717,0.80648347981644,"none"
"11321","Prkcz",0.015512787097873,0.0884964318883308,0.964910901148091,"none"
"11322","Prkd1",0.315392255555464,1.43944744957438,0.48373525966082,"none"
"11323","Prkd2",0.0179421106312984,0.364641490502308,0.959528523536018,"none"
"11324","Prkd3",0.0670012638730656,0.610188661743666,0.857035351103647,"none"
"11325","Prkdc",0.192378961241884,-0.722781637548637,0.642127158720941,"none"
"11326","Prkg1",0.0685889231638259,-0.75758964363309,0.853907989165938,"none"
"11327","Prkg2",0.0553252176748828,0.69051498277931,0.880389354131099,"none"
"11328","Prkra",0.645795109040246,2.01965753604043,0.226050197576147,"none"
"11329","Prkrip1",0.126453124574533,0.757284771802757,0.747389299044753,"none"
"11330","Prkrir",0.0264049437855883,-0.146213034112341,0.941011771470515,"none"
"11331","Prkx",0.0242459662142403,-0.262779709909862,0.9457014039783,"none"
"11332","Prl8a1",0.355752049724787,1.25230737899871,0.440806459814876,"none"
"11333","Prlr",0.0580337713631581,-1.13250511401592,0.874915737876767,"none"
"11335","Prmt1",0.0947234501333824,-0.427904290720951,0.804037954173357,"none"
"11336","Prmt2",0.13318484545759,-0.639930183566588,0.735893817940698,"none"
"11337","Prmt3",0.00339897462892357,-0.050256784182466,0.992204118435447,"none"
"11338","Prmt5",0.00907606968458126,0.0696040018489697,0.979318435982447,"none"
"11339","Prmt6",0.0987277398397708,0.60027432656208,0.796658620935324,"none"
"11340","Prmt7",0.00275263054747178,-0.0341077783704833,0.99368187774006,"none"
